VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount,VehiclePicture
20222,2025 Lexus ES 300h 4 DR FWD,LEXUS,ES 300H,2025,0.0,0.0,5,4,5,4,,,5,5,5,,,5,5,5,4,Not Rated,0.105,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/53339_st0640_046.png
20221,2025 Lexus ES 350 4 DR FWD,LEXUS,ES 350,2025,0.0,0.0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v10656P081.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10656C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10658P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10658C012.wmv,5,5,5,4,Not Rated,0.105,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10657P073.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10657C013.wmv,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/55166_cc0640_032_1L1.png
20239,2025 Lexus GX 550 SUV AWD,LEXUS,GX 550,2025,2.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,,,Standard,Standard,Standard,0.0,
20224,2025 Lexus IS 300 4 DR AWD,LEXUS,IS 300,2025,0.0,0.0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10031P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10031C021.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11386P106.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v11386C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11385P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11385C013.wmv,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/50083_st0640_046.png
20226,2025 Lexus IS 350 4 DR AWD,LEXUS,IS 350,2025,0.0,0.0,5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
20225,2025 Lexus IS 350 4 DR RWD,LEXUS,IS 350,2025,0.0,0.0,5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
20227,2025 Lexus IS 500 4 DR RWD,LEXUS,IS 500,2025,0.0,0.0,5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
20223,2025 Lexus IS 300 4 DR RWD,LEXUS,IS 300,2025,0.0,0.0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10031P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10031C021.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11386P106.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v11386C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11385P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11385C013.wmv,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/50083_st0640_046.png
20217,2025 Lexus LC 500 2 DR RWD,LEXUS,LC 500,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20219,2025 Lexus LC 500 CONVERTIBLE C RWD,LEXUS,LC 500 CONVERTIBLE,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
