cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
17,84,2018-08-28T00:00:00-04:00,44.686134136,CT,26425
40,60,2012-07-19T00:00:00-04:00,44.669934463,FL,26425
50,50,2023-03-12T00:00:00-05:00,44.6,NY,26425
5,96,2011-09-17T00:00:00-04:00,44.54837558,TX,26425
10,90,2014-04-22T00:00:00-04:00,44.5,OR,26425
40,60,2015-02-07T00:00:00-05:00,44.2,CA,26425
40,60,2012-09-22T00:00:00-04:00,44.051340028,NE,26425
70,30,2019-08-30T00:00:00-04:00,43.970292552,IN,26425
0,0,2010-11-29T00:00:00-05:00,43.822569426,IN,26425
41,59,2013-01-06T00:00:00-05:00,43.747538216,TX,26425
60,40,2018-09-24T00:00:00-04:00,43.7,CT,26425
70,30,2014-03-10T00:00:00-04:00,43.497419111,OR,26425
43,57,2019-06-19T00:00:00-04:00,43.101473605,MN,26425
10,90,2009-11-30T00:00:00-05:00,43.0,TX,26425
77,23,2011-03-26T00:00:00-04:00,42.741187384,IL,26425
0,0,2017-05-15T00:00:00-04:00,42.711103492,NY,26425
49,51,2014-11-02T00:00:00-04:00,42.146588772,CA,26425
80,20,2011-06-24T00:00:00-04:00,41.878209406,MA,26425
30,70,2010-04-18T00:00:00-04:00,41.846865662,NH,26425
80,20,2014-02-20T00:00:00-05:00,41.288135593,FL,26425
50,50,2019-07-01T00:00:00-04:00,41.052058111,FL,26425
76,24,2012-10-26T00:00:00-04:00,40.833385577,NY,26425
58,42,2012-10-18T00:00:00-04:00,40.335081714,DC,26425
35,65,2009-10-05T00:00:00-04:00,40.104938272,AZ,26425
70,30,2017-03-23T00:00:00-04:00,39.5,IL,26425
64,36,2013-02-17T00:00:00-05:00,39.169631823,CA,26425
74,26,2012-09-19T00:00:00-04:00,39.129720748,CT,26425
58,43,2017-03-26T00:00:00-04:00,39.070749736,,26425
0,0,2016-08-25T00:00:00-04:00,39.024390244,CA,26425
0,0,2011-03-21T00:00:00-04:00,38.7,SC,26425
12,88,2025-07-20T00:00:00-04:00,38.514819739,NE,26425
30,70,2009-11-13T00:00:00-05:00,36.7,PA,26425
30,70,2010-12-26T00:00:00-05:00,36.0,NE,26425
0,0,2013-12-21T00:00:00-05:00,35.564589227,MN,26425
80,20,2010-01-24T00:00:00-05:00,35.4,,26425
0,0,2010-02-24T00:00:00-05:00,35.154538817,KS,26425
30,70,2015-02-05T00:00:00-05:00,31.755196305,NY,26425
80,20,2020-10-05T00:00:00-04:00,30.0,CA,26425
71,29,2025-09-01T00:00:00-04:00,39.140401569,PA,48604
65,35,2025-09-06T00:00:00-04:00,21.971500583,CO,48269
