efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SHYXT02.0KE3,47959,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.0KE3,47959,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV00.0201,48363,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0201,48363,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0201,48362,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0201,48362,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0200,48364,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0200,48364,7,10.0,-1.0,2,ZEV,California ZEV
SHYXT02.0KE3,47960,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.0KE3,47960,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV00.0K01,48357,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0K01,48357,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0K01,48358,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0K01,48358,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0K00,48359,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0K00,48359,7,10.0,-1.0,2,ZEV,California ZEV
SHYXT02.0KE3,47952,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.0KE3,47952,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.0KE3,47953,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.0KE3,47953,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT01.6KC3,48064,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT01.6KC3,48064,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV00.0R30,49065,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0R30,49065,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0R30,49066,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0R30,49066,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXT03.8NL5,47958,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHYXT03.8NL5,47958,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHYXT03.8NL5,47951,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHYXT03.8NL5,47951,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHYXT02.5VP3,48267,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5VP3,48267,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5VR3,48266,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5VR3,48266,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5VR3,48257,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5VR3,48257,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5VP3,48270,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5VP3,48270,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5MP3,48269,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5MP3,48269,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5MP3,48258,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5MP3,48258,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV01.6M13,48265,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV01.6M13,48265,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5MP3,48268,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5MP3,48268,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV02.5ER3,48043,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV02.5ER3,48043,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV02.5EP7,48046,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHYXV02.5EP7,48046,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHYXV02.5ER3,48044,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV02.5ER3,48044,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV02.5ER3,48045,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV02.5ER3,48045,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5LR3,47789,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5LR3,47789,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT01.6L13,48271,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT01.6L13,48271,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT01.6L13,48272,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT01.6L13,48272,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXT01.6L2T,49011,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHYXT01.6L2T,49011,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SHYXT02.5LR3,47793,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXT02.5LR3,47793,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV02.0E13,48047,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SHYXV02.0E13,48047,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHYXV01.6SB7,48604,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
