vehicleId;vehicleDescription;make;model;modelYear;complaintsCount;recallsCount;overallRating;overallFrontCrashRating;frontCrashDriversideRating;frontCrashPassengersideRating;frontCrashPicture;frontCrashVideo;overallSideCrashRating;sideCrashDriversideRating;sideCrashPassengersideRating;sideCrashPicture;sideCrashVideo;combinedSideBarrierAndPoleRating-Front;combinedSideBarrierAndPoleRating-Rear;sideBarrierRating-Overall;rolloverRating;rolloverRating2;rolloverPossibility;rolloverPossibility2;dynamicTipResult;sidePoleCrashRating;sidePolePicture;sidePoleVideo;nHTSAElectronicStabilityControl;nHTSAForwardCollisionWarning;nHTSALaneDepartureWarning;investigationCount;vehiclePicture
20321;2025 Ford F-250 (Crew Cab) PU/CC RWD;FORD;F-250 (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20318;2025 Ford F-250 (Regular Cab) PU/RC 4WD;FORD;F-250 (REGULAR CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20317;2025 Ford F-250 (Regular Cab) PU/RC RWD;FORD;F-250 (REGULAR CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20320;2025 Ford F-250 (Super Cab) PU/EC 4WD;FORD;F-250 (SUPER CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20319;2025 Ford F-250 (Super Cab) PU/EC RWD;FORD;F-250 (SUPER CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20324;2025 Ford F-250 Tremor (Crew Cab) PU/CC 4WD;FORD;F-250 TREMOR (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20323;2025 Ford F-250 Tremor (Crew Cab) PU/CC RWD;FORD;F-250 TREMOR (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20330;2025 Ford F-350 (Crew Cab) PU/CC 4WD;FORD;F-350 (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20329;2025 Ford F-350 (Crew Cab) PU/CC RWD;FORD;F-350 (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20326;2025 Ford F-350 (Regular Cab) PU/RC 4WD;FORD;F-350 (REGULAR CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20325;2025 Ford F-350 (Regular Cab) PU/RC RWD;FORD;F-350 (REGULAR CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20328;2025 Ford F-350 (Super Cab) PU/EC 4WD;FORD;F-350 (SUPER CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20332;2025 Ford Maverick Early Release PU/CC AWD;FORD;MAVERICK EARLY RELEASE;2025;16;2;4;5;5;4;https://static.nhtsa.gov/crashTest/images/2025/v14127P084.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14212P105.jpg;;5;5;5;4;;0.155;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14128P074.jpg;;Standard;Standard & Optional;Optional;0;
20327;2025 Ford F-350 (Super Cab) PU/EC RWD;FORD;F-350 (SUPER CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
20331;2025 Ford Maverick Early Release PU/CC FWD;FORD;MAVERICK EARLY RELEASE;2025;16;2;4;5;5;4;https://static.nhtsa.gov/crashTest/images/2025/v14127P084.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14212P105.jpg;;5;5;5;4;;0.169;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14128P074.jpg;;Standard;Standard & Optional;Optional;0;
20334;2025 Ford Maverick HEV Early Release PU/CC AWD;FORD;MAVERICK HEV EARLY RELEASE;2025;4;0;4;5;5;4;;;5;5;5;;;5;5;5;4;;0.155;0.0;No Tip;5;;;Standard;Standard & Optional;Optional;0;
20333;2025 Ford Maverick HEV Early Release PU/CC FWD;FORD;MAVERICK HEV EARLY RELEASE;2025;4;0;4;5;5;4;;;5;5;5;;;5;5;5;4;;0.169;0.0;No Tip;5;;;Standard;Standard & Optional;Optional;0;
20338;2025 Ford Maverick HEV Later Release PU/CC AWD;FORD;MAVERICK HEV LATER RELEASE;2025;4;0;4;5;5;4;;;5;5;5;;;5;5;5;4;;0.155;0.0;No Tip;5;;;Standard;Standard & Optional;Optional;0;
20337;2025 Ford Maverick HEV Later Release PU/CC FWD;FORD;MAVERICK HEV LATER RELEASE;2025;4;0;4;5;5;4;;;5;5;5;;;5;5;5;4;;0.169;0.0;No Tip;5;;;Standard;Standard & Optional;Optional;0;
20336;2025 Ford Maverick Later Release PU/CC AWD;FORD;MAVERICK LATER RELEASE;2025;16;2;4;5;5;4;https://static.nhtsa.gov/crashTest/images/2025/v14127P084.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14212P105.jpg;;5;5;5;4;;0.155;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14128P074.jpg;;Standard;Standard & Optional;Optional;0;
